timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,quatW,quatX,quatY,quatZ,altitude,temperature,analogValue,state
235283,-0.004211,-0.283875,-0.998413,1.082879,-0.648385,2.274541,-0.161111,-0.174952,-0.953285,0.186210,632.50,31.60,768.00,1
235383,0.007019,-0.279968,-0.954956,0.701410,-0.343210,1.587895,-0.142654,-0.174156,-0.957142,0.182185,632.52,31.60,768.00,1
235483,-0.015442,-0.291687,-1.001343,0.014764,-0.633126,0.855473,-0.124452,-0.172604,-0.960850,0.177421,632.52,31.60,768.00,1
235583,-0.028137,-0.298035,-0.985718,-1.129645,0.251883,1.084355,-0.105523,-0.171078,-0.964349,0.172103,632.50,31.60,766.00,1
235683,-0.054993,-0.320496,-0.964722,-1.205939,-0.434762,2.366094,-0.086923,-0.170097,-0.966899,0.169144,632.50,31.60,768.00,1
235783,-0.035461,-0.271179,-0.970093,-0.641364,-0.099069,2.152471,-0.068941,-0.169713,-0.969630,0.162030,632.49,31.60,768.00,1
235883,-0.049622,-0.324890,-0.949585,0.991327,-0.465280,1.862553,-0.049786,-0.168188,-0.970742,0.163970,632.49,31.60,766.00,1
235983,-0.022278,-0.287292,-0.946655,0.106317,-0.511056,2.045659,-0.031527,-0.167279,-0.972514,0.158845,632.49,31.60,768.00,1
236083,-0.031067,-0.315613,-0.976440,-0.687140,0.587577,1.984624,-0.011708,-0.166049,-0.973491,0.156834,632.47,31.60,768.00,1
236183,-0.034485,-0.306335,-0.980835,-1.297492,0.709647,1.145390,0.007560,-0.164329,-0.974829,0.150464,632.47,31.60,768.00,1
236283,-0.013000,-0.319031,-0.938843,-1.389045,-1.151925,1.053838,0.020548,-0.162664,-0.973009,0.162369,632.46,31.60,766.00,1
236383,-0.073059,-0.282898,-0.996948,-0.595588,-0.694162,2.366094,0.003124,-0.167334,-0.974192,0.151433,632.43,31.60,766.00,1
236483,-0.030579,-0.271179,-0.970093,-1.007575,-0.266916,2.244023,0.008139,-0.168721,-0.976694,0.132397,632.43,31.60,768.00,1
236583,-0.020813,-0.283875,-0.961792,-1.175421,-0.038034,1.862553,0.017138,-0.168792,-0.974290,0.148208,632.41,31.60,768.00,1
236683,-0.047180,-0.311218,-0.972534,0.136834,-0.556833,1.465825,-0.000594,-0.172422,-0.972255,0.158058,632.40,31.60,768.00,1
236783,-0.043274,-0.309265,-0.936401,0.716668,-0.923043,3.067998,0.016967,-0.171756,-0.971071,0.164999,632.40,31.60,768.00,1
236883,-0.061829,-0.255554,-0.969604,-0.244635,-0.770456,1.114873,0.004590,-0.174677,-0.973202,0.149458,632.40,31.60,768.00,1
236983,-0.049133,-0.330750,-0.934448,-0.916022,-0.739938,0.687627,0.004220,-0.174650,-0.970246,0.167612,632.43,31.60,768.00,1
237083,-0.075012,-0.265808,-0.976440,-0.961798,-1.426584,0.809697,-0.006524,-0.177081,-0.972621,0.150339,632.43,31.60,768.00,1
237183,-0.175110,-0.347351,-0.994995,-1.801032,-3.501779,1.404790,-0.026242,-0.179836,-0.970327,0.159459,632.43,31.60,768.00,1
237283,-0.080872,-0.280945,-0.918335,-0.793952,-3.898507,1.404790,-0.013275,-0.178441,-0.972454,0.149361,632.43,31.60,768.00,1
237383,-0.182922,-0.321960,-0.968140,-0.870246,-1.701242,1.160649,-0.032210,-0.181323,-0.970195,0.157472,632.45,31.60,766.00,1
237483,-0.166321,-0.270203,-0.971558,-0.824469,-2.769357,1.923589,-0.052965,-0.185710,-0.969776,0.149109,632.45,31.60,768.00,1
237583,-0.128235,-0.282410,-0.903198,-1.434821,-3.379709,1.557378,-0.040803,-0.183381,-0.968998,0.160438,632.46,31.60,768.00,1
237683,-0.214172,-0.274109,-0.985718,-2.136725,1.533622,4.853276,-0.059514,-0.190846,-0.967799,0.152948,632.48,31.60,768.00,1
237783,-0.211243,-0.256042,-0.960327,-2.975959,-3.822213,-0.990840,-0.081694,-0.192505,-0.967195,0.144197,632.48,31.60,768.00,1
237883,-0.264954,-0.279480,-0.964233,-0.626105,-7.057077,-1.402827,-0.101824,-0.190828,-0.963635,0.156893,632.48,31.60,768.00,1
237983,-0.269348,-0.260437,-0.910522,-3.052253,-6.675607,1.389531,-0.126279,-0.192508,-0.959774,0.160686,632.48,31.60,768.00,1
